date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-27 22:55:16,JLo,,116,212,4315,"Happy birthday to this loca!!! Partners for life. Love you!!! #besties @egt239",,@egt239,#besties,1199824036135616512,https://twitter.com/JLo/status/1199824036135616512
2019-11-27 15:15:30,JLo,,214,668,7910,"I promise Alex has his own friends to smart video call with on @PortalFacebook. Really. @AROD @KimKardashian #FeelThere #portalpartner http://portalfb.me/fbJLo",,@PortalFacebook @AROD @KimKardashian,#FeelThere #portalpartner,1199708332820443136,https://twitter.com/JLo/status/1199708332820443136
2019-11-25 14:34:07,JLo,HustlersMovie,207,526,6603,"Thank you!!!! @HustlersMovie #PSIFF",,@HustlersMovie,#PSIFF,1198973142556979200,https://twitter.com/JLo/status/1198973142556979200
2019-11-21 19:59:46,JLo,HustlersMovie,147,445,5540,"THANK YOU!!! @HustlersMovie",,@HustlersMovie,,1197605544359583744,https://twitter.com/JLo/status/1197605544359583744
2019-11-20 22:02:27,JLo,nbcsnl,150,630,8310,"12.7.19 ",,,,1197274030417432576,https://twitter.com/JLo/status/1197274030417432576
2019-11-19 19:04:05,JLo,Coach,128,362,5059,"Thank you @coach! Exciting things coming soon!!! #CoachNY",,@Coach,#CoachNY,1196866753088888837,https://twitter.com/JLo/status/1196866753088888837
2019-11-18 22:40:44,JLo,GQMagazine,285,971,13893," ",,,,1196558889241784321,https://twitter.com/JLo/status/1196558889241784321
2019-11-18 16:34:29,JLo,,333,1158,12192,"Bronx Bred. On a cover generally graced by men, I am honored to be on the cover of @gq’s Men of the Year issue. Talking #Ramona and #Hustlers. : https://www.gq.com/story/jennifer-lopez-icon-of-the-year-2019 : JESSICA PRESSLER : DANIEL JACKSON",,@gq,#Ramona #Hustlers,1196466718329180161,https://twitter.com/JLo/status/1196466718329180161
2019-11-15 17:29:21,JLo,,74,210,1915,".@THR Actress Roundtable ",,@THR,,1195393362397974528,https://twitter.com/JLo/status/1195393362397974528
2019-11-14 23:26:28,JLo,,496,1579,22814,"Wow!!! All the warm and fuzzy feels @hustlersmovie #Ramona #grateful",,@HustlersMovie,#Ramona #grateful,1195120847142424576,https://twitter.com/JLo/status/1195120847142424576
2019-11-13 17:00:11,JLo,,290,765,11580,"Round . Get ready for the season of #QUAYxJLO + #QUAYxAROD http://bit.ly/quayxjlo",,,#QUAYxJLO #QUAYxAROD,1194661244743143429,https://twitter.com/JLo/status/1194661244743143429
2019-11-13 15:32:31,JLo,,130,832,8629,"#Ramona on #Batman. @variety’s #ActorsOnActors w/ Robert Pattinson #hustlersmovie : Art Streiber https://variety.com/2019/film/features/jennifer-lopez-robert-pattinson-batman-hustlers-the-lighthouse-1203402753/",,@Variety,#Ramona #Batman #ActorsOnActors #hustlersmovie,1194639185371643904,https://twitter.com/JLo/status/1194639185371643904
2019-11-11 17:25:22,JLo,AROD,33,156,1525,"To the brave men and women who have served and sacrificed more than we will ever know, thank you! #HappyVeteransDay #HireHonor @desireegruber",,@desireegruber,#HappyVeteransDay #HireHonor,1193942809520291841,https://twitter.com/JLo/status/1193942809520291841
2019-11-11 17:18:24,JLo,damianoribezzo2,110,214,4428,"Yay! So glad you enjoyed. Love you!!!! ",,,,1193941056091512832,https://twitter.com/JLo/status/1193941056091512832
2019-11-11 15:54:57,JLo,k__fid,28,127,2005,"Love this!!! #Ramona #Destiny @HustlersMovie",,@HustlersMovie,#Ramona #Destiny,1193920053642698752,https://twitter.com/JLo/status/1193920053642698752
2019-11-11 15:53:07,JLo,Lovely_ldy,28,91,1157,"Yes you do!!!!! @HustlersMovie",,@HustlersMovie,,1193919592676151296,https://twitter.com/JLo/status/1193919592676151296
2019-11-06 00:50:29,JLo,AROD,183,499,11651," ",,,,1191880499280654337,https://twitter.com/JLo/status/1191880499280654337
