date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-28 06:00:10,McDonalds,NiqueSaidIt,0,0,0,"You should treat yourself, friend! We think you deserve it! ",,,,1199930966711644160,https://twitter.com/McDonalds/status/1199930966711644160
2019-11-28 05:58:48,McDonalds,LeahRekati,0,0,0,"It happens, Rachael. It’s like that old saying, “The stomach wants what the stomach wants"". Swing by for some more soon! ",,,,1199930621994385408,https://twitter.com/McDonalds/status/1199930621994385408
2019-11-28 05:57:25,McDonalds,ChloeDutton9,0,0,0,"We knew you had great taste, Chloe! ",,,,1199930273372286976,https://twitter.com/McDonalds/status/1199930273372286976
2019-11-28 05:56:47,McDonalds,tanner_hake,0,0,0,"Sounds like you have great taste, Tanner! ",,,,1199930114135543813,https://twitter.com/McDonalds/status/1199930114135543813
2019-11-28 05:56:21,McDonalds,tpmoneyTGOD,0,0,0,"Sounds good to us, friend! We are always craving the opportunity to see more of you.",,,,1199930006815870976,https://twitter.com/McDonalds/status/1199930006815870976
2019-11-28 05:53:00,McDonalds,isabelalej23,0,0,0,"We agree, Isabel! You're welcome anytime the craving hits.",,,,1199929161541980160,https://twitter.com/McDonalds/status/1199929161541980160
2019-11-28 05:47:50,McDonalds,kirkfatool,0,0,0,"We love how much you love our Chicken McNuggets, Kirk! Swing by anytime the craving hits. ",,,,1199927859772608513,https://twitter.com/McDonalds/status/1199927859772608513
2019-11-28 05:42:09,McDonalds,meowitslesley,0,1,2,"We'll have some Sprite waiting for you, friend!",,,,1199926431679168512,https://twitter.com/McDonalds/status/1199926431679168512
2019-11-28 05:40:10,McDonalds,starringzhane,0,0,1,"Thanks for the love, Zhané",,,,1199925931386789888,https://twitter.com/McDonalds/status/1199925931386789888
2019-11-28 05:24:51,McDonalds,_DexTheKid_,0,0,2,"We knew you had great taste, Dex! Swing by and pick up your faves anytime the craving hits! ",,,,1199922076209098752,https://twitter.com/McDonalds/status/1199922076209098752
2019-11-28 05:17:58,McDonalds,TooShort_Mel,0,1,1,"We knew you had great taste, Mel! ",,,,1199920345123368960,https://twitter.com/McDonalds/status/1199920345123368960
2019-11-28 05:17:00,McDonalds,Cardenas0607,0,0,0,"Love is in the eye of the beholder Marcos, so we hope you’ll get to be holdin’ a Sausage McMuffin soon. ",,,,1199920101631430656,https://twitter.com/McDonalds/status/1199920101631430656
2019-11-28 05:13:53,McDonalds,Gage_Andreoni,1,1,1,"Sounds like you have great taste, Gage!",,,,1199919316117929985,https://twitter.com/McDonalds/status/1199919316117929985
2019-11-28 05:11:20,McDonalds,slightwerkrotb,1,1,0,"We can't believe it either, friend. We find it quite humorous. ",,,,1199918678118223872,https://twitter.com/McDonalds/status/1199918678118223872
2019-11-28 05:09:18,McDonalds,OhHESAmazing_14,0,0,0,"Great choice, friend! Swing by and pick some up soon! ",,,,1199918163355426816,https://twitter.com/McDonalds/status/1199918163355426816
2019-11-28 05:08:20,McDonalds,kayyshae24,0,0,1,"Hey, friend! Thanks for the love! ",,,,1199917920555556866,https://twitter.com/McDonalds/status/1199917920555556866
2019-11-28 05:04:44,McDonalds,__brandiii,0,0,0,"We apologize for your experience, Brandi. We’re committed to maintaining the highest levels of food safety and take every claim seriously. Please provide more info here https://www.mcdonalds.com/us/en-us/contact-us/restaurant-feedback.html/twitter so we can address this. Thanks!",,,,1199917017027022849,https://twitter.com/McDonalds/status/1199917017027022849
2019-11-28 05:02:42,McDonalds,k8lyn_x,0,0,0,"Thanks for the love, Kaitlyn! ",,,,1199916505200283648,https://twitter.com/McDonalds/status/1199916505200283648
2019-11-28 05:01:41,McDonalds,SamanthaElswic1,0,0,0,"We hope you both enjoyed your meal, Samantha!",,,,1199916245895852032,https://twitter.com/McDonalds/status/1199916245895852032
2019-11-28 04:57:04,McDonalds,winz_weras,0,0,0,"We hope to see you soon, Lindsay!",,,,1199915086825054209,https://twitter.com/McDonalds/status/1199915086825054209
2019-11-28 04:56:38,McDonalds,airwreckless,1,1,2,"Aw, you're the best ever! Stop in soon friend!",,,,1199914978205192193,https://twitter.com/McDonalds/status/1199914978205192193
2019-11-28 04:55:40,McDonalds,SpanishBalls_,0,0,0,"Alert! We have a McD’s emergency! Someone get our friend a Sprite stat!",,,,1199914733752766464,https://twitter.com/McDonalds/status/1199914733752766464
2019-11-28 04:53:01,McDonalds,jovitajh16,0,0,0,"We are here for you whenever you're ready!",,,,1199914065281335296,https://twitter.com/McDonalds/status/1199914065281335296
2019-11-28 04:49:58,McDonalds,StayJayn,0,0,0,"Sounds good to us, Jayn! We are always craving the opportunity to see more of you.",,,,1199913297669185537,https://twitter.com/McDonalds/status/1199913297669185537
2019-11-28 04:46:15,McDonalds,matthe_www,0,0,1,"Sounds good to us, Matthew! Swing by to pick up your faves anytime the craving hits! ",,,,1199912361903185920,https://twitter.com/McDonalds/status/1199912361903185920
2019-11-28 04:45:42,McDonalds,arrozwleche,1,0,0,"We can help you out with that! Let us come to you, friend. Check out the UberEATS website and app for more delivery details.",,,,1199912225387012096,https://twitter.com/McDonalds/status/1199912225387012096
2019-11-28 04:44:07,McDonalds,karenfragss,0,1,2,"Treat yourself, Karen! ",,,,1199911828488433664,https://twitter.com/McDonalds/status/1199911828488433664
2019-11-28 04:42:53,McDonalds,DatCreoleChica,0,0,0,"That's what we like to hear, friend! Thanks for stopping by!",,,,1199911518030237696,https://twitter.com/McDonalds/status/1199911518030237696
2019-11-28 04:39:50,McDonalds,jaanericaa,0,0,0,"We don't know about that, Ja'nerica, but it is pretty electrifying! Stop by any time the craving strikes for next-level flavor!",,,,1199910749033967617,https://twitter.com/McDonalds/status/1199910749033967617
