date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-28 13:06:06,CNN,,43,43,193,"Florence Teeters, a 104-year-old Wisconsin woman, got her first hunting license this week then and nabbed a deer on her first time out",,,,1200038156122361856,https://twitter.com/CNN/status/1200038156122361856
2019-11-28 12:54:27,CNN,,32,39,104,"The magnet fisherman was hoping to find something interesting when he dropped his line in the Grand River, but then he pulled up an antique mortar grenade",,,,1200035221451788289,https://twitter.com/CNN/status/1200035221451788289
2019-11-28 12:39:03,CNN,,132,45,115,"28% of Americans said they weighed 200 pounds or more between 2010 and 2019 -- a four-point jump from a 2001 to 2009, according to a new Gallup poll. Still, fewer Americans now consider themselves overweight or obese",,,,1200031347152228358,https://twitter.com/CNN/status/1200031347152228358
2019-11-28 12:28:03,CNN,,13,63,147,"Four UPS employees were arrested in a drug smuggling bust that included the seizure of more than 50,000 counterfeit THC vape pens",,,,1200028578953519104,https://twitter.com/CNN/status/1200028578953519104
2019-11-28 12:25:59,CNN,,23,22,58,"Rep. Abigail Spanberger has a complicated relationship with impeachment. In September, she wrote an op-ed along with six fellow freshmen Democrats, pushing to open an impeachment inquiry. Now, she's keeping her distance from the topic. http://cnn.it/2OqyTyC",,,,1200028060734623744,https://twitter.com/CNN/status/1200028060734623744
2019-11-28 12:17:06,CNN,,63,116,276,"A farm outside Moscow is testing VR goggles for cows in an effort to increase the quantity -- and quality -- of milk produced.",,,,1200025823245488129,https://twitter.com/CNN/status/1200025823245488129
2019-11-28 12:07:06,CNN,,97,336,944,"Research shows that grateful people tend to exhibit lower levels of stress and depression, cope better with adversity and sleep better.",,,,1200023307564781573,https://twitter.com/CNN/status/1200023307564781573
2019-11-28 11:50:07,CNN,,14,38,82,"Powerful storms have led to weather warnings being put in place across the United States on Thanksgiving Day -- and the nightmare could continue in some areas into the holiday weekend.",,,,1200019031375433728,https://twitter.com/CNN/status/1200019031375433728
2019-11-28 11:35:05,CNN,,55,108,177,"According to South Korea's Defense Ministry, North Korea fired an unidentified projectile on Thursday. If confirmed to be a missile test, it would be Pyongyang's 13th since May.",,,,1200015249883238400,https://twitter.com/CNN/status/1200015249883238400
2019-11-28 11:20:05,CNN,,67,63,147,"Private equity firm Ethos Capital is buying all .org domains on the web, but nonprofits are calling for the deal to be blocked over fears of increased domain prices and censorship.",,,,1200011476330786818,https://twitter.com/CNN/status/1200011476330786818
2019-11-28 11:05:04,CNN,,44,49,137,"It's rare to spend Thanksgiving without Snoopy flying over New York skies, but a storm system bearing high winds could keep some of Macy's Thanksgiving Day Parade balloons on the ground.",,,,1200007696193327107,https://twitter.com/CNN/status/1200007696193327107
2019-11-28 10:47:06,CNN,,32,103,173,"A series of explosions at a Texas chemical plant has forced tens of thousands of people to evacuate their homes.",,,,1200003174343553024,https://twitter.com/CNN/status/1200003174343553024
