date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-28 13:45:03,WSJ,,0,4,19,"San Diego’s immigration court has dismissed more than 30% of its “Remain in Mexico” cases, compared with less than 1% in El Paso",,,,1200047957019709448,https://twitter.com/WSJ/status/1200047957019709448
2019-11-28 13:30:09,WSJ,,2,5,14,"What are the presidential candidates doing online? The Wall Street Journal breaks down how often they tweet, post and cajole as they vie for voters. https://on.wsj.com/2OsysUj",,,,1200044205705498624,https://twitter.com/WSJ/status/1200044205705498624
2019-11-28 13:15:05,WSJ,,5,3,24,"Alibaba’s secondary listing in Hong Kong is paying off, with its shares rising 16% from their offering price",,,,1200040416873189376,https://twitter.com/WSJ/status/1200040416873189376
2019-11-28 13:00:11,WSJ,,2,5,28,"Neighbors often play hardball in the competition for holiday yard decor. Two families in Omaha play butterball.",,,,1200036664237789191,https://twitter.com/WSJ/status/1200036664237789191
2019-11-28 12:45:05,WSJ,,7,20,44,"That rave product review you’re reading online might actually be written by a bot",,,,1200032866043879424,https://twitter.com/WSJ/status/1200032866043879424
2019-11-28 12:30:05,WSJ,,7,18,44,"Days into the standoff at Hong Kong's besieged campus, police switched to a softer approach. The wait-them-out policy saw protesters gradually walk out, many weary from lack of food or emotionally drained.",,,,1200029089509380096,https://twitter.com/WSJ/status/1200029089509380096
2019-11-28 12:15:08,WSJ,,4,32,52,"Secretive diplomacy is under way in the Gulf, as Qatar and Saudi Arabia move to end a 2½-year rift that has compromised U.S. goals for the region",,,,1200025327860404225,https://twitter.com/WSJ/status/1200025327860404225
2019-11-28 12:00:11,WSJ,,3,17,48,"The only time balloons have been grounded in the history of the Macy’s Thanksgiving Day Parade was in 1971",,,,1200021567075430405,https://twitter.com/WSJ/status/1200021567075430405
2019-11-28 11:45:05,WSJ,,51,50,116,"The latest sign a law degree doesn’t pay off quickly: Graduates from just 11 law schools have first-year earnings that surpass their federal loans",,,,1200017768516608001,https://twitter.com/WSJ/status/1200017768516608001
2019-11-28 11:30:08,WSJ,,10,31,45,"Experts said the tests signal Pyongyang’s growing impatience with Washington, which has been reluctant to ease sanctions that have hurt North Korea’s economy",,,,1200014003159863298,https://twitter.com/WSJ/status/1200014003159863298
2019-11-28 11:15:03,WSJ,,7,89,521,"What’s cuter than a baby cheetah? A baby cheetah with its puppy pal https://on.wsj.com/2DeXpfJ",,,,1200010210603098118,https://twitter.com/WSJ/status/1200010210603098118
2019-11-28 11:00:09,WSJ,,5,16,35,"European regulators will conduct their own reviews of Boeing 777X jets, say people familiar with the matter, a break from practice amid the MAX crisis",,,,1200006459267911681,https://twitter.com/WSJ/status/1200006459267911681
2019-11-28 10:45:04,WSJ,,10,19,38,"The department’s inspector general said the number of children affected by the family-separation policy may be higher than previous government figures suggested",,,,1200002661585707009,https://twitter.com/WSJ/status/1200002661585707009
2019-11-28 10:30:07,WSJ,,2,9,32,"Following the opioid-related death of Los Angeles Angels pitcher Tyler Skaggs, MLB is revising its response to an epidemic that has swept the nation",,,,1199998900490387456,https://twitter.com/WSJ/status/1199998900490387456
2019-11-28 10:15:03,WSJ,,11,30,58,"President Trump's support for Hong Kong's protesters raised concerns about fresh hurdles in the trade negotiations between the world’s two largest economies",,,,1199995110542528512,https://twitter.com/WSJ/status/1199995110542528512
2019-11-28 10:00:04,WSJ,,5,10,29,"Heard on the Street: Yearly reviews on Hong Kong's autonomy could become market events similar to the Treasury Department’s reports on international forex policies",,,,1199991338504200192,https://twitter.com/WSJ/status/1199991338504200192
2019-11-28 09:45:06,WSJ,,22,22,51,"Rudy Giuliani said he considered $500,000 in retainers from Ukrainian officials while pushing the country to pursue investigations sought by President Trump",,,,1199987572992348164,https://twitter.com/WSJ/status/1199987572992348164
