date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-28 18:40:04,nytimes,,7,11,38,"In Opinion ""When the victories happen, they matter more than the defeats. They can reshape American society and allow us to come closer to living up to our national ideals,"" writes @DLeonhardt.",,@DLeonhardt,,1200122199375568896,https://twitter.com/nytimes/status/1200122199375568896
2019-11-28 18:25:42,nytimes,,26,44,107,"Iraqi security officers opened fire on mostly unarmed protesters in southern Iraq, killing at least 18 people",,,,1200118584703406082,https://twitter.com/nytimes/status/1200118584703406082
2019-11-28 18:20:07,nytimes,,13,142,668,"""There might be a little boy or girl in the audience seeing that and saying, hey, I can do that, too."" This year, for the first time, New York City Ballet’s ""Nutcracker"" has a black Marie, the young heroine whose life is charged with magic.",,,,1200117180743868416,https://twitter.com/nytimes/status/1200117180743868416
2019-11-28 18:00:20,nytimes,,9,20,64,"How much do you know about turkey pardons, football and the dangers of deep-frying a gigantic bird? Test your knowledge here.",,,,1200112201799028736,https://twitter.com/nytimes/status/1200112201799028736
2019-11-28 17:41:35,nytimes,,18,32,201,"At Macy's Thanksgiving Day Parade, a forecast of gusting winds threatened to ground the big balloons – but they flew as planned. Sort of. Handlers battled with the winds and kept them just feet off the ground. https://nyti.ms/2OTEfkT",,,,1200107482674323456,https://twitter.com/nytimes/status/1200107482674323456
2019-11-28 17:40:05,nytimes,,24,69,108,"5 people, including 2 boys, ages 10 and 14, were shot in the Bronx on Wednesday by a man firing into a crowd, the police said",,,,1200107103375036416,https://twitter.com/nytimes/status/1200107103375036416
2019-11-28 17:25:49,nytimes,,51,71,119,"NATO announced that it had agreed to reduce the United States’ contribution to the alliance’s relatively small central budget. The United States and Germany will now pay the same amount into the central funding pot, its secretary general said.",,,,1200103513667317763,https://twitter.com/nytimes/status/1200103513667317763
2019-11-28 17:00:22,nytimes,,11,16,48,"The NFL's Thanksgiving slate of games is about to kick off. Become a playoff picture expert — and impress your family, too — with the @UpshotNYT analysis of which teams have the best chance right now to make the postseason.",,@UpshotNYT,,1200097109309038593,https://twitter.com/nytimes/status/1200097109309038593
2019-11-28 16:40:06,nytimes,,95,45,311,"Pete Buttigieg might be struggling to attract younger voters impatient for change, but many older white Americans have come around to his more tempered vision.",,,,1200092008284672001,https://twitter.com/nytimes/status/1200092008284672001
2019-11-28 16:32:42,nytimes,,15,15,79,"A jury decided that the retired British police commander David Duckenfield was not guilty of manslaughter, 30 years after a crowd crush at a soccer match that killed 96 people",,,,1200090146139443200,https://twitter.com/nytimes/status/1200090146139443200
2019-11-28 16:20:08,nytimes,,27,140,273,"A federal loan forgiveness program made a promise to students: Stick with your vital but low-wage professions and your debts will be wiped clean. Then they weren’t.",,,,1200086985538514944,https://twitter.com/nytimes/status/1200086985538514944
2019-11-28 16:00:11,nytimes,,36,182,598,"We asked service members, veterans and civilians who have observed Thanksgiving in a conflict zone to share their photographs and memories. Their stories are vast and varied, like combat service itself, and reflect the range of experiences while deployed.",,,,1200081962750369793,https://twitter.com/nytimes/status/1200081962750369793
2019-11-28 15:40:08,nytimes,,22,103,134,"Rebels have attacked and killed several health workers responding to Ebola in eastern Congo, the head of the World Health Organization said",,,,1200076917120151553,https://twitter.com/nytimes/status/1200076917120151553
2019-11-28 15:20:06,nytimes,,24,159,813,"At 17, Nick Clifford was the youngest worker hired to work at Mount Rushmore, where the faces of Presidents George Washington, Thomas Jefferson, Theodore Roosevelt and Abraham Lincoln were carved. He has died at 98.",,,,1200071878859251714,https://twitter.com/nytimes/status/1200071878859251714
2019-11-28 15:00:10,nytimes,,194,70,161,"At least 9 Republican organizations, G.O.P. candidates or advocacy groups are selling Donald Trump Jr.'s book “Triggered,"" or promoting his book tour",,,,1200066859405651968,https://twitter.com/nytimes/status/1200066859405651968
2019-11-28 14:38:05,nytimes,,26,73,194,"Iraqi protesters in the city of Najaf burned down the Iranian Consulate there on Wednesday night in an outburst of anger at Iran, witnesses said",,,,1200061305471807488,https://twitter.com/nytimes/status/1200061305471807488
2019-11-28 14:20:08,nytimes,,20,61,114,"At least 13 people were killed when their car struck a roadside bomb on the way to a wedding party in northern Afghanistan, officials said. Most of the victims were from a single family. “I am dead, I am finished, I am destroyed,” said one survivor.",,,,1200056785845071874,https://twitter.com/nytimes/status/1200056785845071874
2019-11-28 14:11:06,nytimes,,23,36,132,"Here are some of the highlights worth watching from late-night TV",,,,1200054511689175040,https://twitter.com/nytimes/status/1200054511689175040
2019-11-28 13:52:44,nytimes,,33,172,707,"Fear no more, parade enthusiasts. Astronaut Snoopy, SpongeBob SquarePants and Smokey Bear have been given the all clear by the New York Police Department and you can expect to see them floating above the Macy’s Thanksgiving Day Parade.",,,,1200049891260739584,https://twitter.com/nytimes/status/1200049891260739584
2019-11-28 13:37:04,nytimes,,120,154,280,"Kim Jong-un, North Korea’s leader, has said that the United States has until the end of the year to make a new proposal to create a breakthrough in negotiations on denuclearizing the Korean Peninsula",,,,1200045946396168193,https://twitter.com/nytimes/status/1200045946396168193
2019-11-28 13:20:05,nytimes,,71,765,891,"China vowed retaliation after President Trump signed new human rights legislation covering Hong Kong. It denounced the law as illegal interference in its affairs. Behind the harsh rhetoric, trade and the softening Chinese economy present bigger problems.",,,,1200041674182942720,https://twitter.com/nytimes/status/1200041674182942720
2019-11-28 12:59:04,nytimes,,173,343,375,"Apple, following Google and others, has bowed to Russian demands that its apps not show Crimea as belonging to Ukraine on digital maps seen in Russia",,,,1200036383538208769,https://twitter.com/nytimes/status/1200036383538208769
2019-11-28 12:40:02,nytimes,,21,85,252,"Hull-O Farms, located in the Catskills, has been in the Hull family for 240 years and 7 generations. Now, its aging owners are putting it on the market: ""We're running out of options.""",,,,1200031594012131328,https://twitter.com/nytimes/status/1200031594012131328
2019-11-28 12:20:03,nytimes,,7,50,303,"Like a pie but with only one crust, like a galette but thicker, this deep-dish number is the best of all worlds.",,,,1200026565125521408,https://twitter.com/nytimes/status/1200026565125521408
2019-11-28 12:00:16,nytimes,,13,41,141,"When the going gets rough, nothing is more soothing than a good book",,,,1200021585689743366,https://twitter.com/nytimes/status/1200021585689743366
2019-11-28 11:30:04,nytimes,,31,29,114,"On the surface, conversation starter games can be seen as an attempt to pull people from their phones. But they also address a deeper issue: When you’ve run out of things to talk about, what are you supposed to say?",,,,1200013987691274241,https://twitter.com/nytimes/status/1200013987691274241
2019-11-28 11:00:13,nytimes,,21,52,161,"The turkey is the centerpiece of the Thanksgiving meal, and there are plenty of techniques for cooking one. We will talk you through brining, stuffing, trussing and roasting, along with extra turkey tips to help you through the holiday.",,,,1200006474593910784,https://twitter.com/nytimes/status/1200006474593910784
2019-11-28 10:30:06,nytimes,,11,49,209,"""Origamists from around the world will meet and fold together. They might not be able to talk to each other, but they can fold.""",,,,1199998897055244289,https://twitter.com/nytimes/status/1199998897055244289
2019-11-28 10:03:52,nytimes,,8,53,163,"Gift-worthy children’s books that pack a visual punch",,,,1199992296542003201,https://twitter.com/nytimes/status/1199992296542003201
2019-11-28 09:32:21,nytimes,,11,78,279,"9 new books recommended by critics and editors at The New York Times",,,,1199984361854119936,https://twitter.com/nytimes/status/1199984361854119936
