date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-28 13:07:02,theblaze,,12,47,159,"First lady Melania Trump offers a classy response about teens booing her in Baltimore",,,,1200038390365933568,https://twitter.com/theblaze/status/1200038390365933568
2019-11-28 04:08:48,theblaze,,1,18,62,"'Giving Machines' let you donate to needy families anonymously for the holidays, and the first one is incredibly successful",,,,1199902938103197701,https://twitter.com/theblaze/status/1199902938103197701
2019-11-28 03:42:38,theblaze,,11,109,155,"Illegal alien deported after killing four children in 2008 school bus crash is caught again in the US",,,,1199896353578471424,https://twitter.com/theblaze/status/1199896353578471424
2019-11-28 03:00:17,theblaze,,17,15,67,".@kanyewest says he's a Christian now. Here's why it doesn't matter if he's telling the truth",,@kanyewest,,1199885695206211584,https://twitter.com/theblaze/status/1199885695206211584
2019-11-28 02:45:00,theblaze,,6,55,110,"Her only child was killed by an illegal alien with multiple felonies",,,,1199881852200378370,https://twitter.com/theblaze/status/1199881852200378370
2019-11-28 02:00:20,theblaze,,1,19,51,"No, the Louisiana election was not a warning sign for 2020. Here's why Democrats are wrong.",,,,1199870610307989504,https://twitter.com/theblaze/status/1199870610307989504
2019-11-28 01:30:03,theblaze,,15,82,318,"First lady Melania Trump offers a classy response about teens booing her in Baltimore http://bit.ly/33rUtXM",,,,1199862986950791168,https://twitter.com/theblaze/status/1199862986950791168
2019-11-28 01:15:01,theblaze,,62,428,1768,"The competing news aggregator will be named ""Bongino Report""",,,,1199859203826958336,https://twitter.com/theblaze/status/1199859203826958336
2019-11-28 01:00:21,theblaze,,6,8,49,"""In the end, it's better to be wrong about Kanye West's conversion to Christianity than to reject someone's genuine religious conversion. After all, 'Hands Down' prolifically predicted the reaction from Christians""",,,,1199855513317625857,https://twitter.com/theblaze/status/1199855513317625857
2019-11-28 00:15:00,theblaze,,6,8,15,"They even offer ""conversation"" cards to get things going.",,,,1199844101694349313,https://twitter.com/theblaze/status/1199844101694349313
2019-11-28 00:07:00,theblaze,,82,130,302,"Woman suing Hunter Biden in paternity suit reportedly worked as stripper at club he frequented",,,,1199842088604577792,https://twitter.com/theblaze/status/1199842088604577792
2019-11-28 00:00:39,theblaze,,14,7,25,"Instagram 'healer' promotes 'perineum sunning' in viral photo",,,,1199840492143435778,https://twitter.com/theblaze/status/1199840492143435778
2019-11-27 23:30:07,theblaze,,6,6,30,"WATCH: Steven Crowder makes stunning admission while satirically recreating Epstein’s ‘suicide’",,,,1199832807545155584,https://twitter.com/theblaze/status/1199832807545155584
2019-11-27 23:00:14,theblaze,,33,108,366,"ICE arrested 250 foreign students enrolled in a fake university in Michigan",,,,1199825285258063872,https://twitter.com/theblaze/status/1199825285258063872
2019-11-27 22:30:15,theblaze,,50,20,68,"Catholic priest denies communion to judge in same-sex marriage — and parishioners are angry about it",,,,1199817741819138049,https://twitter.com/theblaze/status/1199817741819138049
