date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-28 15:13:31,disneyplus,,104,777,3737,"There’s a Binge List for everyone—and every kind of #Thanksgiving! Tell us which list you plan to ~feast~ your eyes on and start streaming now on #DisneyPlus.",,,#Thanksgiving #DisneyPlus,1200070222364868609,https://twitter.com/disneyplus/status/1200070222364868609
2019-11-28 04:23:46,disneyplus,TimFederle,25,0,11,"Obsessed is an understatement.",,,,1199906705569538048,https://twitter.com/disneyplus/status/1199906705569538048
2019-11-28 03:11:55,disneyplus,,370,1075,8418," KEEEEEEVINNNNNNNNNN Home Alone (1,2, AND 3) are here just in time for the long weekend. Start streaming now on #DisneyPlus—home alone or not.",,,#DisneyPlus,1199888622725390336,https://twitter.com/disneyplus/status/1199888622725390336
2019-11-27 22:50:04,disneyplus,LarrySaperstein,0,1,31,"NONE AT ALL.",,,,1199822726745034752,https://twitter.com/disneyplus/status/1199822726745034752
2019-11-27 15:11:16,disneyplus,,50,363,1860,"All we want is to watch this on loop! See the first-ever demo of “All I Want,” an original song @Olivia_Rodrigo wrote in just 3 days and composed for her character Nini in the East High music room. Listen to it again in episode 4 of #HSMTMTS, streaming Friday on #DisneyPlus!",,@Olivia_Rodrigo,#HSMTMTS #HSMTMTS #DisneyPlus,1199707265621614592,https://twitter.com/disneyplus/status/1199707265621614592
2019-11-26 23:20:31,disneyplus,starwars,51,26,575,"Reporting in! ",,,,1199468002107744256,https://twitter.com/disneyplus/status/1199468002107744256
2019-11-26 17:01:41,disneyplus,,40,165,974,"East High hits the high note! Stream the show critics are going *wild* for: #HSMTMTS, only on #DisneyPlus.",,,#HSMTMTS #HSMTMTS #DisneyPlus,1199372663992373249,https://twitter.com/disneyplus/status/1199372663992373249
2019-11-25 21:00:22,disneyplus,Disney,43,15,147,"@YNB got Mister Harley Brown and we got @YNB. ",,@YNB @YNB,,1199070344549523456,https://twitter.com/disneyplus/status/1199070344549523456
2019-11-24 16:04:35,disneyplus,,76,131,1363,"Yarn for something different. Purl, one of @Pixar’s #SparkShorts, is now streaming on #DisneyPlus.",,@Pixar,#SparkShorts #SparkShorts #DisneyPlus,1198633518546309120,https://twitter.com/disneyplus/status/1198633518546309120
2019-11-23 20:51:35,disneyplus,,147,343,2945,"New chapter, new faces. #TheMandalorian, now streaming on #DisneyPlus.",,,#TheMandalorian #TheMandalorian #DisneyPlus,1198343360391475201,https://twitter.com/disneyplus/status/1198343360391475201
2019-11-23 17:37:58,disneyplus,OhMyDisney,33,16,203,"We failed and we’re okay with that. ",,,,1198294635124154368,https://twitter.com/disneyplus/status/1198294635124154368
2019-11-23 16:09:43,disneyplus,,446,360,4651,"*Still in bed* Who remembers @Disney's One Saturday Morning? Tell us your #DisneyPlus version! (Ours: Recess, Doug, &amp; Hercules: The Animated Series)",,@Disney,#DisneyPlus,1198272424971653120,https://twitter.com/disneyplus/status/1198272424971653120
