date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-28 02:12:25,Microsoft,,4,32,150,"Learn how Indigenous knowledge, scientific research and #AI are working together to protect biodiversity: http://msft.social/pTaEjn ",,,#AI,1199873651342008320,https://twitter.com/Microsoft/status/1199873651342008320
2019-11-28 00:45:00,Microsoft,,4,17,88,"Bloop, there it is! Tune in tomorrow at 9AM PT for an all new blooper-filled episode of #MicrosoftUnboxed . http://msft.social/vP381H",,,#MicrosoftUnboxed,1199851650531373062,https://twitter.com/Microsoft/status/1199851650531373062
2019-11-27 23:30:37,Microsoft,,4,59,267,"#AI + laser optics = data storage on quartz glass. Meet Project Silica: http://msft.social/lSJEsb",,,#AI,1199832930622824450,https://twitter.com/Microsoft/status/1199832930622824450
2019-11-27 00:15:25,Microsoft,,4,108,317,"Develop apps, even if you don't code. Here's how you can make the most of #AI with Power Virtual Agents and Power Automate.",,,#AI,1199481819214831622,https://twitter.com/Microsoft/status/1199481819214831622
2019-11-26 22:00:17,Microsoft,,3,54,207,"Ignite your productivity to make the most of your workday. ",,,,1199447809935761408,https://twitter.com/Microsoft/status/1199447809935761408
2019-11-26 21:45:00,Microsoft,,0,27,101,"Every vote counts. Learn how @POLITICOEurope is using data to prove why: http://msft.social/HE9lLF",,@POLITICOEurope,,1199443964849479682,https://twitter.com/Microsoft/status/1199443964849479682
2019-11-26 15:01:34,Microsoft,,27,243,725,"This holiday, follow the magical story of Lucy, a curious 6-year-old with a few questions. Learn more: http://msft.social/Tq8cyx",,,,1199342436037775361,https://twitter.com/Microsoft/status/1199342436037775361
2019-11-25 22:30:28,Microsoft,,3,75,293,"Ignite your productivity to make the most of your workday. ",,,,1199093020525842432,https://twitter.com/Microsoft/status/1199093020525842432
2019-11-25 20:30:29,Microsoft,,6,53,212,"Meet Ada, the #AI-driven project Artist in Residence Jenny Sabin designed in honor of one of the first computer programmers, Ada Lovelace: http://msft.social/rdOwBd",,,#AI,1199062825584463877,https://twitter.com/Microsoft/status/1199062825584463877
2019-11-25 19:05:30,Microsoft,,3,36,157,"With #AzureArc, you can manage multiple technology environments - all with one set of tools. ",,,#AzureArc,1199041439444938758,https://twitter.com/Microsoft/status/1199041439444938758
2019-11-23 00:15:34,Microsoft,,13,71,306,"Meet Ada, the #AI-driven project Artist in Residence Jenny Sabin designed in honor of one of the first computer programmers, Ada Lovelace: http://msft.social/esArS1",,,#AI,1198032304393850880,https://twitter.com/Microsoft/status/1198032304393850880
2019-11-22 22:30:36,Microsoft,,12,86,362,"Lights, camera, innovation. Meet Project Silica - a new project preserving the world's favorite movies within quartz glass. ",,,,1198005891037114369,https://twitter.com/Microsoft/status/1198005891037114369
2019-11-22 19:45:48,Microsoft,,1,64,261,"Ignite your productivity to make the most of your workday. ",,,,1197964414990897157,https://twitter.com/Microsoft/status/1197964414990897157
2019-11-22 18:35:00,Microsoft,,6,57,229,"Envisioning a world where everything is digitized and connected in the cloud. That's what @FinancialReview cites as @satyanadella's ""superpower."" Read more: http://msft.social/19QT1l",,@FinancialReview @satyanadella,,1197946597826580481,https://twitter.com/Microsoft/status/1197946597826580481
2019-11-22 00:16:35,Microsoft,,6,67,325,"Lights, camera, innovation. Meet Project Silica - a new project preserving the world's favorite movies within quartz glass. ",,,,1197670174247333888,https://twitter.com/Microsoft/status/1197670174247333888
2019-11-21 22:15:39,Microsoft,,6,70,305,"Meet Ada, the #AI-driven project Artist in Residence Jenny Sabin designed in honor of one of the first computer programmers, Ada Lovelace: http://msft.social/dSfSDY",,,#AI,1197639738754240517,https://twitter.com/Microsoft/status/1197639738754240517
