date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-27 18:00:00,Snapchat,,30,559,3358,"The one where they turn into @Bitmoji. #RealFriends #FRIENDS25",,@Bitmoji,#RealFriends #FRIENDS25,1199749730181550119,https://twitter.com/Snapchat/status/1199749730181550119
2019-11-26 18:00:00,Snapchat,,8,40,279,"Words on friendship by Joey Tribbiani. #RealFriends #FRIENDS25",,,#RealFriends #FRIENDS25,1199387343150407681,https://twitter.com/Snapchat/status/1199387343150407681
2019-11-25 18:05:40,Snapchat,,20,49,314,"Words on friendship by Phoebe Buffay. #RealFriends #FRIENDS25",,,#RealFriends #FRIENDS25,1199026379263660032,https://twitter.com/Snapchat/status/1199026379263660032
2019-11-23 18:00:00,Snapchat,,15,32,253,"Time flies (when you’re having fun). Tap below to act your age with Time Machine: https://snapchat.com/unlock/?type=SNAPCODE&amp;uuid=f4511d1ca9d74ec688814772b9eca0a6&amp;metadata=01",,,,1198300179192877057,https://twitter.com/Snapchat/status/1198300179192877057
2019-11-21 17:00:01,Snapchat,,53,115,740,"Take the selfie of a lifetime. Try Time Machine today https://www.snapchat.com/unlock/?type=SNAPCODE&amp;uuid=f4511d1ca9d74ec688814772b9eca0a6&amp;metadata=01",,,,1197560308014837760,https://twitter.com/Snapchat/status/1197560308014837760
2019-10-31 18:52:13,Snapchat,,89,103,853,"Press and hold on a for a treat! Happy Halloween from Team Snapchat.",,,,1189978397671219200,https://twitter.com/Snapchat/status/1189978397671219200
2019-09-17 12:00:01,Snapchat,,399,479,2871,"Your Snaps. Now in 3D. https://www.snap.com/en-US/news/post/3d-snaps",,,,1173929596892454912,https://twitter.com/Snapchat/status/1173929596892454912
2019-08-20 20:00:00,Snapchat,,244,51,672,"""You talk to him at a normal volume, and he starts yelling as if he were on the other side of the street."" Meet Ignacio & Raúl #RealFriends",,,#RealFriends,1163903529708244992,https://twitter.com/Snapchat/status/1163903529708244992
2019-08-20 16:00:01,Snapchat,,47,176,911,"Words on friendship by Henry David Thoreau #RealFriends",,,#RealFriends,1163843135983763461,https://twitter.com/Snapchat/status/1163843135983763461
2019-08-19 20:00:00,Snapchat,,34,25,365,"""Even though I don't tell him this, he really is my biggest supporter."" Meet Nelson & Florian #RealFriends",,,#RealFriends,1163541142706774017,https://twitter.com/Snapchat/status/1163541142706774017
2019-08-19 16:00:00,Snapchat,,55,306,3166,"Words on friendship by the Panchatantra #RealFriends",,,#RealFriends,1163480743768494080,https://twitter.com/Snapchat/status/1163480743768494080
2019-08-16 20:00:00,Snapchat,,45,24,302,"""You usually don't get a lot of people to know the true you."" Meet Daniel & Jie Ying #RealFriends",,,#RealFriends,1162453978099019776,https://twitter.com/Snapchat/status/1162453978099019776
2019-08-16 16:00:01,Snapchat,,45,223,2515,"Words on friendship by Bhavabhuti #RealFriends",,,#RealFriends,1162393584684941312,https://twitter.com/Snapchat/status/1162393584684941312
2019-08-15 20:00:01,Snapchat,,40,34,400,"“He’s my best friend as well as being my fiancée.” Meet Jefferson & Alice (and ) #RealFriends",,,#RealFriends,1162091593316175872,https://twitter.com/Snapchat/status/1162091593316175872
2019-08-15 16:00:00,Snapchat,,38,211,918,"Words on friendship by Mahatma Gandhi #RealFriends",,,#RealFriends,1162031191551172610,https://twitter.com/Snapchat/status/1162031191551172610
2019-08-14 20:00:00,Snapchat,,71,51,459,"""We're so comfortable with each other. We share the other side of ourselves that we don't make public."" Meet Aba & Aminah #RealFriends",,,#RealFriends,1161729203890298881,https://twitter.com/Snapchat/status/1161729203890298881
2019-08-14 16:00:01,Snapchat,,25,32,256,"Words on friendship by W. B. Yeats #RealFriends",,,#RealFriends,1161668807187992577,https://twitter.com/Snapchat/status/1161668807187992577
2019-08-13 20:00:00,Snapchat,,134,25,509,"""Mel is family that I've been able to choose."" Meet Mel & Zoe #RealFriends",,,#RealFriends,1161366815697588224,https://twitter.com/Snapchat/status/1161366815697588224
2019-08-13 16:00:01,Snapchat,,96,209,1287,"Words on friendship by Aristotle #RealFriends",,,#RealFriends,1161306421864148994,https://twitter.com/Snapchat/status/1161306421864148994
2019-08-12 20:00:00,Snapchat,,78,53,510,"""The universe kind of like, drew us together."" Meet Ayo & Dikembé #RealFriends",,,#RealFriends,1161004425919336448,https://twitter.com/Snapchat/status/1161004425919336448
2019-08-12 16:00:01,Snapchat,,21,88,599,"Words on friendship by Marlene Dietrich #RealFriends",,,#RealFriends,1160944032249516041,https://twitter.com/Snapchat/status/1160944032249516041
2019-08-09 20:00:00,Snapchat,,48,31,398,"“Whatever I’m feeling, there’s no judgement.” Meet Ronit & Tanisha #RealFriends",,,#RealFriends,1159917264893665280,https://twitter.com/Snapchat/status/1159917264893665280
2019-08-09 16:00:01,Snapchat,,13,17,125,"Words on friendship by Robert Louis Stevenson #RealFriends",,,#RealFriends,1159856868409217026,https://twitter.com/Snapchat/status/1159856868409217026
2019-08-08 20:00:01,Snapchat,,27,27,289,"“It’s just those little things that really kind of bring us together.” Meet Ebony & Alex #RealFriends",,,#RealFriends,1159554878135390208,https://twitter.com/Snapchat/status/1159554878135390208
2019-08-08 16:00:00,Snapchat,,37,553,2829,"Words on friendship by @MarilynMonroe #RealFriends",,@MarilynMonroe,#RealFriends,1159494477087514629,https://twitter.com/Snapchat/status/1159494477087514629
2019-08-07 20:00:00,Snapchat,,38,25,301,"“That’s my best friend and my brother.” Meet Josh & Rebecca #RealFriends",,,#RealFriends,1159192489447821312,https://twitter.com/Snapchat/status/1159192489447821312
2019-08-07 16:00:01,Snapchat,,10,32,214,"Words on friendship by Walt Whitman #RealFriends",,,#RealFriends,1159132092896145408,https://twitter.com/Snapchat/status/1159132092896145408
2019-08-06 20:00:00,Snapchat,,20,18,290,"“Even though we may be working around the clock, we’re still connected.” Meet Ruchi & Sanabh #RealFriends",,,#RealFriends,1158830100282052608,https://twitter.com/Snapchat/status/1158830100282052608
2019-08-06 16:00:00,Snapchat,,2,23,153,"Words on friendship by Ralph Waldo Emerson #RealFriends",,,#RealFriends,1158769702916612096,https://twitter.com/Snapchat/status/1158769702916612096
2019-08-05 20:00:00,Snapchat,,17,27,230,"“We're constantly on the other side of the world to each other... but I get to see his face every single day.” Meet Nelson & Elke #RealFriends",,,#RealFriends,1158467711321681922,https://twitter.com/Snapchat/status/1158467711321681922
2019-08-05 16:00:01,Snapchat,,10,18,180,"Words on friendship by @BillieHolidayHQ #RealFriends",,@BillieHolidayHQ,#RealFriends,1158407317328736256,https://twitter.com/Snapchat/status/1158407317328736256
