date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-04 17:20:42,Uber,BlaiseBourgeois,10,0,26,"#TFW the 5 stars align. ",,,#TFW,1202276555231154176,https://twitter.com/Uber/status/1202276555231154176
2019-12-03 22:06:24,Uber,ReneeYoungWWE,8,1,14,"Mayer is the mayor of music town. ",,,,1201986067324260352,https://twitter.com/Uber/status/1201986067324260352
2019-12-03 20:55:00,Uber,B__Richardson,0,0,1,"Future so bright, you gotta wear .",,,,1201968098120617985,https://twitter.com/Uber/status/1201968098120617985
2019-12-03 20:13:26,Uber,Faith_Gibb,8,5,14,"It doesn’t have to be summer to enjoy a Pool. #UberPool",,,#UberPool,1201957636477874177,https://twitter.com/Uber/status/1201957636477874177
2019-12-03 18:41:03,Uber,Guala412,0,0,0,"It’s the best way to start your day. ",,,,1201934387568209921,https://twitter.com/Uber/status/1201934387568209921
2019-12-03 18:40:40,Uber,mvchy_,0,0,1,"New stories with every mile. ",,,,1201934291799666688,https://twitter.com/Uber/status/1201934291799666688
2019-12-03 18:36:00,Uber,ayepuffdaddy,4,3,20,"Good energy makes for good mornings. ",,,,1201933116111065088,https://twitter.com/Uber/status/1201933116111065088
2019-12-03 17:18:31,Uber,,5,1,11,"166 times taller. Yeah, that’s a lot of pizza. Where are you headed in 2020?",,,,1201913618771693570,https://twitter.com/Uber/status/1201913618771693570
2019-12-03 17:18:31,Uber,,4,4,7,"The number of pizzas ordered through @UberEats would be taller than Mount Everest by",,@UberEats,,1201913617513357312,https://twitter.com/Uber/status/1201913617513357312
2019-12-03 17:18:31,Uber,,1,1,2," If you guessed 5 million miles, you got it right. All this traveling has made us hungry. Let’s see if you can get this question from @UberEats correct.",,@UberEats,,1201913615235866624,https://twitter.com/Uber/status/1201913615235866624
2019-12-03 17:18:30,Uber,,1,2,2,"Next question. How many miles did JUMP travel in 2019?",,,,1201913613948276742,https://twitter.com/Uber/status/1201913613948276742
2019-12-03 17:18:30,Uber,,2,1,2,"If you guessed…. Paris Right on.",,,,1201913612245319683,https://twitter.com/Uber/status/1201913612245319683
2019-12-03 17:18:29,Uber,,1,1,0,"Biking is popular all around the world but one city takes the cake when pedaling with JUMP. Which city was the most popular city for JUMP bikes?",,,,1201913610248867842,https://twitter.com/Uber/status/1201913610248867842
2019-12-03 17:18:29,Uber,,1,1,4,"If you guessed…. The Empire State Building you are correct.",,,,1201913608139157505,https://twitter.com/Uber/status/1201913608139157505
2019-12-03 17:18:29,Uber,,18,6,23,"What was the most popular Uber destination of 2019?",,,,1201913607023452161,https://twitter.com/Uber/status/1201913607023452161
2019-12-03 17:17:06,Uber,hiimynameisava,3,1,63,"Stay classy William. ",,,,1201913261962059781,https://twitter.com/Uber/status/1201913261962059781
2019-12-02 22:30:11,Uber,kristaaliyah_,2,0,0,"Tuned up. Ready for the day. #MondayMood",,,#MondayMood,1201629661286957056,https://twitter.com/Uber/status/1201629661286957056
2019-12-02 22:29:46,Uber,LeaderoftheNew,0,0,0,"Sunny music for a rainy day. ",,,,1201629558056767488,https://twitter.com/Uber/status/1201629558056767488
2019-12-02 22:29:22,Uber,Bmc_1125,0,0,0," B A N G E R S ONLY!",,,,1201629458890809345,https://twitter.com/Uber/status/1201629458890809345
2019-12-02 22:28:41,Uber,akonchangkou,12,5,46,"The art of conversation is alive and well. ",,,,1201629284827185152,https://twitter.com/Uber/status/1201629284827185152
2019-12-02 22:27:25,Uber,Kontra402,0,3,0,"There just aren’t enough stars to describe some rides.",,,,1201628966664032256,https://twitter.com/Uber/status/1201628966664032256
2019-12-02 19:45:24,Uber,JemicahColleen,1,0,1,"Hi Jemicah! We love your tweet and would like to share on our channels. Can you please send us a DM?",,,,1201588192660590592,https://twitter.com/Uber/status/1201588192660590592
2019-12-02 19:13:43,Uber,ernietoast,0,0,1,"Nicloske ga gloope! #TheSims",,,#TheSims #TheSims,1201580222442856449,https://twitter.com/Uber/status/1201580222442856449
2019-12-02 19:13:07,Uber,JoseCepeda_12,0,1,2," This is our #MondayMotivation",,,#MondayMotivation,1201580068209868800,https://twitter.com/Uber/status/1201580068209868800
2019-12-02 19:03:09,Uber,,12,4,38,"To the driver who plays the seasonal hits: ",,,,1201577559747641349,https://twitter.com/Uber/status/1201577559747641349
2019-12-02 18:05:34,Uber,malirobi_,2,0,33,"Ramble on. ",,,,1201563070067286021,https://twitter.com/Uber/status/1201563070067286021
