date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-27 23:45:46,facebook,,42,24,81,"How to get your holiday shopping on with Facebook and Instagram ",,,,1199836745623228417,https://twitter.com/facebook/status/1199836745623228417
2019-11-27 19:12:58,facebook,KAKAKITOSIN,8,0,1,"Hi there. If you think your account has been hacked or taken over, please visit this Page to secure your account: http://bit.ly/2DlmOV3. -AS",,,,1199768090738860038,https://twitter.com/facebook/status/1199768090738860038
2019-11-26 22:47:24,facebook,Danisboss,23,1,2,"We're sorry to hear that. If your account was taken over by someone else, please secure it here: http://bit.ly/2OoTmnx -MC",,,,1199459667916840960,https://twitter.com/facebook/status/1199459667916840960
2019-11-26 19:46:12,facebook,WrestlingLeague,0,0,1,"Thanks for reaching out. If there is activity you don't recognize on your advertising account, please follow the steps listed here: http://bit.ly/33khaNl. -AS",,,,1199414066189651974,https://twitter.com/facebook/status/1199414066189651974
2019-11-26 19:38:48,facebook,valliap35999198,2,0,2,"Thanks for reaching out. To report a Facebook account that is impersonating you, please follow the instructions detailed here: http://bit.ly/33nJiiA. -AS",,,,1199412204472279046,https://twitter.com/facebook/status/1199412204472279046
2019-11-25 18:32:16,facebook,,139,138,806,".@patrickc, CEO of Stripe, and @tylercowen, economist at George Mason University, sit down with our CEO, Mark Zuckerberg to discuss how to accelerate progress.",,@patrickc @tylercowen,,1199033073251151872,https://twitter.com/facebook/status/1199033073251151872
2019-11-22 23:33:04,facebook,HelloKamau,9,1,1,"Thanks for joining us, Kelvin! -CF",,,,1198021608331460616,https://twitter.com/facebook/status/1198021608331460616
2019-11-21 23:05:27,facebook,,195,25,132,"Meet Jessica, a manager at Facebook who's Nez Perce and Lakota. She's done so much to make us better - from improving the way people register their names on Facebook to making sure we work with companies from diverse backgrounds.",,,,1197652271959433216,https://twitter.com/facebook/status/1197652271959433216
2019-11-21 22:22:51,facebook,everywomanUK,3,0,1,"Thanks for joining us and leading an important conversation about representation and role models. -CF",,,,1197641550941044737,https://twitter.com/facebook/status/1197641550941044737
2019-11-21 21:48:57,facebook,CMI_Compas,2,1,1,"We appreciate you sharing their story. - CF",,,,1197633019047272448,https://twitter.com/facebook/status/1197633019047272448
2019-11-21 21:48:36,facebook,LittleBirdMomma,1,1,0,"Thanks for joining us, Priscilla! -CF",,,,1197632933315649536,https://twitter.com/facebook/status/1197632933315649536
2019-11-21 20:21:18,facebook,oculus,52,20,120," ",,,,1197610960212545536,https://twitter.com/facebook/status/1197610960212545536
2019-11-20 22:22:09,facebook,JustBeingTrueMe,22,0,0,"Hi Samantha. If you're having trouble receiving a code to verify your account you can request a new code. Learn how here: http://bit.ly/2XyFdqT -CF",,,,1197278988336582657,https://twitter.com/facebook/status/1197278988336582657
2019-11-20 20:25:16,facebook,,91,31,129,"A glimpse into the future of fashion and commerce on Facebook and @Instagram with @dvf and @fidjissimo, head of the Facebook app ",,@instagram @DVF @fidjissimo,,1197249573334306816,https://twitter.com/facebook/status/1197249573334306816
2019-11-20 18:26:52,facebook,humblecore,6,0,17," ",,,,1197219774599589889,https://twitter.com/facebook/status/1197219774599589889
2019-11-20 16:59:46,facebook,RajKapa52344691,4,0,2,"Hi Raj. Thanks for reaching out. We recommend checking out http://bit.ly/3455Q9l for assistance with your account. -CF",,,,1197197858300137472,https://twitter.com/facebook/status/1197197858300137472
2019-11-19 23:19:21,facebook,shonalishashang,10,0,3,"Hi Shona. The best place to seek help with your account is through the Help Center: http://bit.ly/342WmuV -CF",,,,1196930994135273472,https://twitter.com/facebook/status/1196930994135273472
2019-11-19 21:15:09,facebook,paige_m_smith,1,0,2,"Thanks for sharing, Paige! We're excited you found new clients for your business using our app. -CF",,,,1196899739465322499,https://twitter.com/facebook/status/1196899739465322499
2019-11-19 20:39:23,facebook,sohom_mchak13,2,0,1,"Thanks, Sohom. We're glad you like it! -JG",,,,1196890735087423488,https://twitter.com/facebook/status/1196890735087423488
2019-11-19 20:39:04,facebook,venicholas,1,0,1,"Thanks for the positive feedback, Joseph! Glad you like our new logo. -CF",,,,1196890656821657600,https://twitter.com/facebook/status/1196890656821657600
2019-11-19 20:15:09,facebook,glfceo,2,1,2,"What a special day, Tatyana! Thank you so much for sharing. -CF",,,,1196884638892998657,https://twitter.com/facebook/status/1196884638892998657
2019-11-18 23:23:51,facebook,iamsarvo,17,1,1,"Hi there. If you think your Page has been hacked, you can find helpful guidance here: http://bit.ly/37jdsXN. -KY",,,,1196569738060664832,https://twitter.com/facebook/status/1196569738060664832
