date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-28 14:17:46,Twitter,emaa_athu,8,4,74,"you¹⁰⁰⁰⁰",,,,1200056190681649152,https://twitter.com/Twitter/status/1200056190681649152
2019-11-28 14:17:00,Twitter,foreverrain__,8,4,146,"*soulja boy voice*",,,,1200055996988694528,https://twitter.com/Twitter/status/1200055996988694528
2019-11-28 14:16:37,Twitter,Auba_Laca8,8,4,109,"Is being a dog not enough?",,,,1200055901253754881,https://twitter.com/Twitter/status/1200055901253754881
2019-11-28 14:16:03,Twitter,bbbbeassss,10,7,34,"TPWK ",,,,1200055758219628544,https://twitter.com/Twitter/status/1200055758219628544
2019-11-28 13:57:00,Twitter,,2750,5738,26792,"We’re thankful for you. And you. And you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you and you",,,,1200050963962187776,https://twitter.com/Twitter/status/1200050963962187776
2019-11-27 20:20:33,Twitter,georgeciveris,2,0,14,"that's all",,,,1199785098847178754,https://twitter.com/Twitter/status/1199785098847178754
2019-11-27 20:16:39,Twitter,_justriss,0,1,2,"hot takes for cold days",,,,1199784117287759882,https://twitter.com/Twitter/status/1199784117287759882
2019-11-26 22:13:21,Twitter,1800CALLHEAVEN,3,6,13,"who needs travel friends when you have us in your pocket",,,,1199451100686036997,https://twitter.com/Twitter/status/1199451100686036997
2019-11-26 22:08:00,Twitter,Authoralexandr1,4,1,10,"we'd call this writing",,,,1199449752728981504,https://twitter.com/Twitter/status/1199449752728981504
2019-11-26 22:05:28,Twitter,daveloach2,0,1,0," ",,,,1199449113835835393,https://twitter.com/Twitter/status/1199449113835835393
2019-11-25 21:55:54,Twitter,Ebk_numba00,21,29,787,"You'll be parent of the year",,,,1199084319945437184,https://twitter.com/Twitter/status/1199084319945437184
2019-11-25 21:53:06,Twitter,uchejombo,16,9,78,"blushing",,,,1199083614497058816,https://twitter.com/Twitter/status/1199083614497058816
2019-11-22 15:25:00,Twitter,hestyIesdebut,4,3,18,"Tell her that's a good friend of yours",,,,1197898782832242688,https://twitter.com/Twitter/status/1197898782832242688
2019-11-22 01:41:38,Twitter,The1stSegun,7,4,97,"we know our color wheel",,,,1197691575020724224,https://twitter.com/Twitter/status/1197691575020724224
2019-11-22 01:41:38,Twitter,RBLXDeni_Dev,3,0,67,"it would also go with that color",,,,1197691574886510592,https://twitter.com/Twitter/status/1197691574886510592
2019-11-22 01:41:38,Twitter,JennferGuerrero,3,2,102,"Can't go wrong with that nautical vibe",,,,1197691574764949504,https://twitter.com/Twitter/status/1197691574764949504
2019-11-22 01:35:27,Twitter,mendesattached,3,2,106,"We won't dissapoint",,,,1197690018921418759,https://twitter.com/Twitter/status/1197690018921418759
2019-11-22 01:30:52,Twitter,ahoye0162,1,2,52,"It's hard to tell in this light",,,,1197688865156411393,https://twitter.com/Twitter/status/1197688865156411393
2019-11-22 01:30:28,Twitter,_jackholden,10,1,136,"blink once for gray, twice for grey",,,,1197688765558525952,https://twitter.com/Twitter/status/1197688765558525952
2019-11-22 01:27:53,Twitter,lesliekateregga,29,5,376,"Dim or lights out? The world needs to know",,,,1197688114183057409,https://twitter.com/Twitter/status/1197688114183057409
2019-11-22 01:26:02,Twitter,karacod,1,1,5,"*Blue with excitement",,,,1197687648963506176,https://twitter.com/Twitter/status/1197687648963506176
2019-11-22 01:25:41,Twitter,boopjisung,28,94,1054,"oomf speaking the truumf",,,,1197687562627932160,https://twitter.com/Twitter/status/1197687562627932160
2019-11-22 01:22:00,Twitter,TNTDounuts,2,1,159,"stop it, no you",,,,1197686635145629697,https://twitter.com/Twitter/status/1197686635145629697
2019-11-22 01:22:00,Twitter,_A7md8,5,6,323,"never goes out of style",,,,1197686635019808768,https://twitter.com/Twitter/status/1197686635019808768
2019-11-22 01:22:00,Twitter,MichellBasler,2,1,2,"Always here for a print",,,,1197686634625609730,https://twitter.com/Twitter/status/1197686634625609730
2019-11-22 01:20:00,Twitter,taeiljoon,8,6,125," ",,,,1197686131573301248,https://twitter.com/Twitter/status/1197686131573301248
2019-11-22 01:20:00,Twitter,String_B3an,1,3,89,"beast mode",,,,1197686131200057345,https://twitter.com/Twitter/status/1197686131200057345
2019-11-22 01:19:10,Twitter,ZaeTruth,1,1,58,"*red carpet ready",,,,1197685922306961409,https://twitter.com/Twitter/status/1197685922306961409
2019-11-22 01:18:44,Twitter,hellfer6,4,0,61,"Starting Halloween 2020 REALLY early",,,,1197685813930274816,https://twitter.com/Twitter/status/1197685813930274816
2019-11-22 01:17:20,Twitter,usbakon,1,1,43,"REALLY really",,,,1197685460597968901,https://twitter.com/Twitter/status/1197685460597968901
2019-11-22 01:17:20,Twitter,Minime_is_dumb,2,0,4,"Look good, feel good",,,,1197685460371464192,https://twitter.com/Twitter/status/1197685460371464192
2019-11-22 01:17:20,Twitter,Yoitsnatalie241,4,17,498,"Let's be honest, the sky wears it better than any of us could",,,,1197685460350443520,https://twitter.com/Twitter/status/1197685460350443520
2019-11-22 01:15:42,Twitter,_jackholden,22,12,457,"do you say grey or gray",,,,1197685048125865984,https://twitter.com/Twitter/status/1197685048125865984
2019-11-22 01:15:41,Twitter,AuntyAdaa,9,9,38,"The scale STARTS at ten for us",,,,1197685047727476736,https://twitter.com/Twitter/status/1197685047727476736
2019-11-22 01:12:31,Twitter,JaVonniBrustow,14,5,409,"What's old is new. What's new looks good on you",,,,1197684247651397639,https://twitter.com/Twitter/status/1197684247651397639
2019-11-22 01:12:31,Twitter,0rmsbee,6,4,632,"oh this old thing?",,,,1197684247521312768,https://twitter.com/Twitter/status/1197684247521312768
2019-11-22 01:05:14,Twitter,,4536,7015,57944,"That color looks great on you",,,,1197682415667421184,https://twitter.com/Twitter/status/1197682415667421184
2019-11-21 16:23:46,Twitter,,2439,5325,13943,"Starting today, you can now hide replies to your Tweets. Out of sight, out of mind.",,,,1197551185894559744,https://twitter.com/Twitter/status/1197551185894559744
2019-11-19 21:17:36,Twitter,Sameraofficial1,6,1,68,"met your eye",,,,1196900356388769795,https://twitter.com/Twitter/status/1196900356388769795
